gid;co_cnes;lat;long;no_fantasia;no_logradouro;nu_endereco;no_bairro;nu_telefone;co_cep;uf;cidade;ano_ubs_det;mes_ubs_det
16446;6747051;-1.76769234320831;-49.4675173339843;POSTO DE SAUDE DE PAULISTA;ILHA PAULISTA;S/N;ZONA RURAL;(91)36361404;68415000.0;PA;Limoeiro do Ajuru;2016;5
16758;4004256;-3.08430433273306;-60.2364277839643;UNIDADE BASICA DE SAUDE DA FAMILIA ANTONIO ALVES DE LIMA;PRACA CENTRAL;32;CENTRO;(92)3372-1060;69415000.0;AM;Iranduba;2016;5
16708;2467836;-7.19132893965495;-48.20870525185579;UBS ARAGUAINA SUL;RUA DAS PALMEIRAS;S/N;ARAGUAINA SUL;(63)34123019;77827230.0;TO;Araguaína;2016;5
16578;2621843;-2.25350967285783;-54.64416682720179;UNIDADE BASICA DE SAUDE DE IGARAPE DO COSTA;COMUNIDADE DE IGARAPE DO COSTA;S/N;ARITAPERA;(93)5232868;68005270.0;PA;Santarém;2016;5
16661;6790801;-3.14037880391634;-58.440175436757094;UNIDADE BASICA DE SAUDE JOSE ALEXANDRE IPORA;ESTRADA AM 010;S/N;ZONA RURAL;;69100084.0;AM;Itacoatiara;2016;5
16423;2000989;-10.3219664096829;-67.18637466430471;U S F DOLORES SILVA VALENTIN;RUA EPITACIO PESSOA;S/N;CAGEACRE;(68) 2371286;69928000.0;AC;Plácido de Castro;2016;5
16464;2622688;-5.601246356963951;-48.4090447425828;POSTO DE SAUDE DE VILA BREJAO;VILA BREJAO;S/N;ZONA RURAL;(63) 9972-6681;68521000.0;PA;Brejo Grande do Araguaia;2016;5
16789;2336928;-1.459845;-48.4878256874875;UNIDADE DE SAUDE DA FAMILIA FURO DAS MARINHAS;RODAUGUSTO MEIRA FILHO;S/N;FURO DAS MARINHAS;( );66035060.0;PA;Belém;2016;5
16443;3900436;-1.192441995;-47.17512612313439;UNIDADE DE SAUDE DA FAMILIA JORGE NOGUEIRA FIGUEREDO;AV BARAO DE CAPANEMA;S/N;CAIXA D AGUA;;68700005.0;PA;Capanema;2016;5
16756;2621452;-3.77486586570729;-49.6654129028306;CENTRO DE SAUDE MERCEDES BARROSO;RUA A;02;VILA PIONEIRA;9191445321;68458970.0;PA;Tucuruí;2016;5
16760;5212537;-2.5828729732715296;-49.50902346127279;UNIDADE DE SAUDE DA FAMILIA DO CENTRO;RUA QUINZE DE NOVEMBRO;S/N;CENTRO;(91) 37961104;68420000.0;PA;Mocajuba;2016;5
16416;5919541;-2.9481768608092405;-47.8153753280626;USF CANAA;COMUNIDADE CANAA;S/N;ZONA RURAL;91 38112233;68637000.0;PA;Ipixuna do Pará;2016;5
16739;2019914;0.807194709777809;-50.7548618316636;PMM U B S SAO JOAQUIM DO PACUI;DISTRITO DE PACUI;01;DISTRITO DO PACUI;(96)2131109;68900909.0;AP;Macapá;2016;5
16505;7328613;-12.1336163386409;-61.867599785327904;UNIDADE BASICA DE SAUDE VISTA ALEGRE;AVENIDA PRESIDENTE PRUDENTE;S/N;VISTA ALEGRE;36431103;76952000.0;RO;Alto Alegre dos Parecis;2016;5
16729;2468492;-10.708569917;-48.4121534584309;UNIDADE DE SAUDE PINHEIROPOLIS PORTO NACIONAL;POVOADO DE PINHEIROPOLIS;S/N;ZONA RURAL;(63)5507192;77500000.0;TO;Porto Nacional;2016;5
16587;3015475;-9.925385713576981;-67.83426761627;USF PLATILDE OLIVEIRA II;RUA FLAVIANO MELO;S/N;TANCREDO NEVES;068-3228-6971;69900970.0;AC;Rio Branco;2016;5
16414;2332310;-1.5306940444813302;-52.5728416442871;POSTO DE SAUDE DE BARREIRAS;COMUNIDADE DE BARREIRAS;S/N;BARREIRAS;93-3737-1811;68230000.0;PA;Almeirim;2016;5
16724;2019213;-3.5271692276;-60.2311277389509;UNIDADE BASICA DE SAUDE SANTA HELENA;RUA ELCIDES LOPES;S/N;DISTRITO DO JANUACA;(92)362 1283;69250000.0;AM;Careiro;2016;5
16687;2546698;-11.8051419686494;-49.5268603629125;UNIDADE SAUDE DA FAMILIA CENTRO;AV JOAQUIM BATISTA DE OLIVEIRA SALA 02;S/N;CENTRO;(63)33572443;77470000.0;TO;Formoso do Araguaia;2016;5
16584;7459521;-11.428374194399199;-61.9451773166656;UBS UNIDADE BASICA DE SAUDE ALBINO ALVES DA SILVA;RUA V 8;S/N;VISTA ALEGRE;(69)3474-2154;76948000.0;RO;Castanheiras;2016;5
16750;2015315;-3.09768319129935;-60.056633949278;UBS LEONOR DE FREITAS;AVENIDA BRASIL;S/N;COMPENSA;(92)36713759;69036110.0;AM;Manaus;2016;5
16755;3644707;-5.12174248695359;-60.3746366500837;UNIDADE BASICA DE SAUDE JOSE BARBALHO PINTO;AVENIDA 16 DE FEVEREIRO;402;CENTRO;;69260000.0;AM;Novo Aripuanã;2016;5
16602;2468654;-10.8664553694029;-48.909294007358895;UNIDADE BASICA DE SAUDE TEREZINHA DE JESUS STA RITA;AVN TOCANTINS;150;CENTRO;(63)3365-5121;77565000.0;TO;Santa Rita do Tocantins;2016;5
16873;2316854;-1.22943946699244;-48.29774064978871;UNIDADE SAUDE DA FAMILIA DE PAU DARCO;RODOVIA AUGUSTO MEIRA FILHO;S/N;PAU DARCO;9137761167;68798000.0;PA;Santa Bárbara do Pará;2016;5
16851;5446627;2.8166819191043904;-60.670532672965;UNIDADE BASICA DE SAUDE LUPERCIO LIMA FERREIRA;RUA NAZARE FIGUEIRA C LAURA PINHEIRO MAIA;S/N;PINTOLANDIA;(95) 3625-4564;69301970.0;RR;Boa Vista;2016;5
17108;7467214;-1.3205169670835601;-47.892644405365;UBS IRLENE LIMA RIBEIRO;RUA JOSE FERREIRA DA PAZ;S/N;PORTELINHA;;68745000.0;PA;Castanhal;2016;5
16967;2001225;-10.6476509571072;-68.5066652297954;UNIDADE DE SAUDE DA FAMILIA JOSE FRANCISCO SILVA;RUA DA CERAMICA;S/N;SIBERIA;;69930000.0;AC;Xapuri;2016;5
17145;2494183;-9.91295099258394;-63.0634117126447;CENTRO DE SAUDE MUTIRAO ARIQUEMES;RUA FLORIANO PEIXOTO;885;MONTE CRISTO;(69)35356161;76877165.0;RO;Ariquemes;2016;5
16863;6610536;-3.33388391198362;-55.3223204612732;POSTO DE SAUDE DE PINHEL;COMUNIDADE DE PINHEL;S/N;RURAL;;68150000.0;PA;Aveiro;2016;5
17172;3331806;-9.97546;-67.8105;USF RAIMUNDA DIONIZIO;RUA JURICABA;571;JOAO PAULO;68 3242 2774;69900970.0;AC;Rio Branco;2016;5
16964;6422276;-3.3668051875055998;-68.2096146409404;UNIDADE BASICA DE SAUDE ALTINA GONCALVES;FREI PIO;295;CENTRO;(97)34631259;69620000.0;AM;Amaturá;2016;5
16855;6646271;-11.729000000000001;-49.068999999999996;UNIDADE DE SAUDE DA FAMILIA BELA VISTA;RETORNO DA RUA 10;38;PARQUE NOVA FRONTEIR;63-3315-0071;77410010.0;TO;Gurupi;2016;5
16843;2616335;-1.93968772888178;-47.0512890815721;UNIDADE DE VIG SANITARIA;AV 07 DE SETEMBRO;S/N;PEDRINHO;34344312;68665000.0;PA;Garrafão do Norte;2016;5
16919;2320819;0.946;-60.418;UNIDADE BASICA DE SAUDE ANTONIO LUCAS DE SOUZA;VILA JUNDIA;S/N;CENTRO;( 95)32381247;69373000.0;RR;Rorainópolis;2016;5
16926;2328577;-1.3360190391540099;-48.4027576446519;UNIDADE BASICA DE SAUDE SAMAMBAIA;RUA BECELANDIA;S/N;ICUI GUAJARA;(91)2732289;67145750.0;PA;Ananindeua;2016;5
16836;2468867;-12.7483677864071;-48.23746919631821;CENTRO DE SAUDE SAO SALVADOR;AV PRAIAO;S/N;CENTRO;(63)3961109;77368000.0;TO;São Salvador do Tocantins;2016;5
17045;7023138;-11.724205020255301;-49.073218703269994;UNIDADE DE SAUDE DA FAMILIA JOAO MANOEL DOS SANTOS;RUA PRESIDENTE GETULIO VARGAS;257;CENTRO;63-3315-0111;77402090.0;TO;Gurupi;2016;5
16879;2496895;-10.718826055526401;-62.2529554367047;CENTRO DE SAUDE OURO PRETO;AV DANIEL COMBONI;S/N;J TROPICAL;6934611184;76920000.0;RO;Ouro Preto do Oeste;2016;5
16820;2000342;-7.61635780334451;-72.6844096183756;UNIDADE DE SAUDE DA FAMILIA ABEL PINHEIRO;RUA MORADA FELIZ;S/N;FORMOSO;;69980000.0;AC;Cruzeiro do Sul;2016;5
17001;2621738;-2.60471819775765;-54.439353346824596;CENTRO DE SAUDE DE SANTANA DO ITUQUI;SANTANA DO ITUQUI;S/N;SANTANA DE ITUQUI;(93)2101-0100;68005270.0;PA;Santarém;2016;5
17047;7218265;-2.45216210648271;-54.756708915710405;UNIDADE BASICA DE SAUDE DA CONQUISTA;RUA OLAVO BILAC;S/N;CONQUISTA;;68005070.0;PA;Santarém;2016;5
16989;2546477;-11.72977232286;-49.07147746893029;UNIDADE DE SAUDE DA FAMILIA WALDIR LINS;RUA 08;141;LOTEAMENTO BAIRRO EN;(63) 3315-0096;77440520.0;TO;Gurupi;2016;5
17143;3816591;-3.8875928319113795;-59.093074026043304;UNIDADE DE SAUDE MARIA DO C DE CASTRO COUTO;RUA JERUZALEM;S/N;AEROLANDIA;;69230000.0;AM;Nova Olinda do Norte;2016;5
16927;2370514;-5.533134484150421;-47.693269103765495;UNIDADE BASICA DE SAUDE SUMAUMA SITIO NOVO;POVOADO SUMAUMA RUA PRINCIPAL;S/N;ZONA RURAL;(63)34461427;77940000.0;TO;Sítio Novo do Tocantins;2016;5
16984;2619806;-0.7157421112060341;-47.985041141508596;POSTO DE SAUDE DE SAO JOAO DOS RAMOS;VILA SAO JOAO DOS RAMOS;S/N;CENTRO;(91)37441423;68775000.0;PA;São Caetano de Odivelas;2016;5
17042;7688709;0.7024207585787501;-51.407432556152294;PMPG UBS MANOEL CORTEZ;JOSE AIRTON NASCIMENTO;S/N;MANOEL CORTEZ;;68997000.0;AP;Porto Grande;2016;5
17151;2020963;-0.0344;-51.1782;PM STN POLICLINICA MARIA TADEU AGUIAR;RUA JUSCELINO KUBITSCHEK;530;PARAISO;(96)991187096;68928069.0;AP;Santana;2016;5
16953;2676133;-0.840378999710059;-47.102358341215705;USF DE JAPERICA;VILA DE JAPERICA;S/N;ZONA RURAL;;68719000.0;PA;São João de Pirabas;2016;5
16932;3752259;-9.94580268859834;-67.8814315795879;USF NIMEO INSFRAN MARTINEZ;AV MARIA JOSE DE OLIVEIRA;1061;DISTRITO INDUSTRIAL;68-3229-6425;69915300.0;AC;Rio Branco;2016;5
17052;2332205;-1.9020400000000002;-55.51956;UNIDADE DE SAUDE NAZARE VENANCIO RIBEIRO;DISTRITO FLEXAL;S/N;MEIO RURAL;;68250000.0;PA;Óbidos;2016;5
16983;2677202;-1.99642;-49.86493;UBS IRANILDES MARIA DA PAIXAO CARVALHO;RUA PREFEITO ARTEMIO ARAUJO;999;MARAPIRA;;68470000.0;PA;Oeiras do Pará;2016;5
17148;3596370;-3.57980489730825;-59.124169349668705;UNIDADE BASICA DE SAUDE ANTONIO ENFERMEIRO;RUA FABIO LUCENA;S/N;WALDOMIRO SAMPAIO;(92)3171231;69240000.0;AM;Autazes;2016;5
17021;2616130;-2.8759717941283305;-51.893491744993604;UBSF VILA NOVA;VILA NOVA;S/N;ZONA RURAL;;68360000.0;PA;Senador José Porfírio;2016;5
16824;2000962;-8.83269667625402;-69.2652583122233;UNIDADE DE SAUDE JOSEFA NUNES;RUA FRANCISCO FERREIRA MENDES;S/N;SAO FRANCISCO;(68) 3611-1110;69950000.0;AC;Manoel Urbano;2016;5
17351;2468751;-11.625231878065;-46.820409066943505;UNIDADE BASICA DE SAUDE PSF 03 DIANOPOLIS;RUA NILO RODRIGUES;S/N;CENTRO;(63)3692-1071;77300000.0;TO;Dianópolis;2016;5
17493;2504995;-2.94480615308843;-49.022177606821096;CENTRO DE SAUDE IGNACIO KOURY GABRIEL;AVENIDA NATAL;S/N;NOVO;9137521661;68695000.0;PA;Tailândia;2016;5
17527;2619822;-1.01504445075986;-48.0552291870103;UNIDADE DE SAUDE DA FAMILIA DE RIO BRANCO;LOC DE RIO BRANCO;S/N;ZONA RURAL;(91)37671325;68775000.0;PA;São Caetano de Odivelas;2016;5
17515;5213053;2.49655904456697;-50.9447727342665;PMC UBS DR JOSE RIBAMAR CAVALCANTE;AV ANTONIO TEODORO LEAL;227;CENTRO;(096) 3423-1272/1225;68960000.0;AP;Calçoene;2016;5
17457;3816524;-3.8924671690772;-59.093131801346296;UNIDADE DE SAUDE RAIMUNDO DO ROSARIO MELO;RUA GETULIO VARGAS;S/N;CENTRO;;69230000.0;AM;Nova Olinda do Norte;2016;5
17255;2001101;-9.600858231187882;-67.5405900835194;UNIDADE DE SAUDE DA FAMILIA OSWALDO CRUZ;ROD AC 10 KM 29;S/N;PROJETO HUMAITA;(68) 32611145;69927000.0;AC;Porto Acre;2016;5
17346;2600404;-7.163362574023759;-48.52731335449221;CENTRO DE SAUDE JOSE LUCIO ARAGOMINAS;RUA ARY VALADAO;S/N;CENTRO;(63)34631213;77845000.0;TO;Aragominas;2016;5
17455;2615975;-7.77681827545143;-49.9039149284348;UNIDADE DE SAUDE DA FAMILIA II TIAO AROEIRA;VILA BOA SORTE;S/N;ZONA RURAL;( );68545000.0;PA;Pau D'Arco;2016;5
17473;2676168;-0.768778290686394;-47.173447464942896;USF DE PATAUA;VILA DE PATAUA;S/N;ZONA RURAL;;68719000.0;PA;São João de Pirabas;2016;5
17210;3323307;-9.600858231187882;-67.5405900835194;UNIDADE DE SAUDE DA FAMILIA ALVARO ARAUJO NOBRE;RAMAL BOA FE;S/N;PROJETO TOCANTINS;;69927000.0;AC;Porto Acre;2016;5
17469;2546442;-11.729000000000001;-49.068999999999996;POSTO DE SAUDE TREVO DO TOCANTINS;TREVO DO TOCANTINS;S/N;ZONA RURAL;(63) 3319-1007;77402970.0;TO;Gurupi;2016;5
17311;2715961;-11.723154518163302;-61.782131195068395;UNIDADE BASICA SAUDE ALBERT SABIN;RUA RIO MADEIRA;S/N;CENTRO;(69)4422276;76940000.0;RO;Rolim de Moura;2016;5
17440;2001748;-8.266535997390509;-72.7408003807047;UBS VICENTE VARELA DE ALMEIDA;RUA BEIRA RIO;S/N;CENTRO;(68) 3258166;69982000.0;AC;Porto Walter;2016;5
17494;2468506;-10.708569917;-48.4121534584309;USF MARIA LOPES PORTO NACIONAL;RUA 05 QD 241;S/N;PORTO IMPERIAL;(63)3632633;77500000.0;TO;Porto Nacional;2016;5
17337;2329018;-8.254412412643191;-49.2693686485276;ESTRATEGIA DE SAUDE DA FAMILIA SETOR NORTE I;AVENIDA CARAJAS;S/N;SAO LUIS I;(91) 4212166;68540000.0;PA;Conceição do Araguaia;2016;5
17367;2677296;-1.91520452499384;-47.5200319290147;USF CARLOS PAIXAO SOUZA;COMUNIDADE DE FATIMA KM 33;S/N;ZONA RURAL;;68675000.0;PA;Mãe do Rio;2016;5
17297;5462894;-0.665906667709331;-47.7718806266771;USF CARATATEUA;LOCALIDADE DE CARATATEUA;77;ZONA RURAL;0913722 - 1236;68750000.0;PA;Curuçá;2016;5
17549;5165210;-10.163253326792699;-48.3510437082462;CENTRO DE SAUDE DA COMUNIDADE SATILO ALVES DE SOUSA;1103 SUL AL 17 APM 13;S/N;CENTRO;32185056;77019010.0;TO;Palmas;2016;5
17531;2615983;-7.8367944039735695;-50.0482755318998;UNIDADE DE SAUDE DA FAMILIA IV MARIA NAZARE CAVALCANTE;VILA MARAJOARA;S/N;VILA MAROJOARA;( );68545000.0;PA;Pau D'Arco;2016;5
17348;2676354;-0.652399063110333;-47.2640633583055;USF CUIARANA;LOCALIDADE DE CUIARANA;S/N;CENTRO;(91)4233858;68721000.0;PA;Salinópolis;2016;5
17468;2313804;-1.2372601032256698;-46.393547058104105;UNIDADE DE SAUDE DA FAMILIA DE LAGUINHO;RUA PRINCIPAL;S/N;CENTRO;;68620000.0;PA;Viseu;2016;5
17376;2020564;1.12907052040097;-50.4717063903794;PM TARTA POSTO DE SAUDE SANTA ROSA;COMUNIDADE SANTA ROSA;S/N;SANTA ROSA;34221110;68990000.0;AP;Tartarugalzinho;2016;5
17324;2622343;-1.6907365;-50.4808947990195;UNIDADE DE SAUDE DA FAMILIA DO BANDEIRANTES;RUA CONSTANTINO FELIX;S/N;BANDEIRANTES;;68800000.0;PA;Breves;2016;5
17428;2315467;-0.889216661453221;-47.3319768905626;E S F DE SAO JOAO DE PERI MERI;VILA DE SAO JOAO DE PERI MERI;S/N;ZONA RURAL;;68720000.0;PA;Santarém Novo;2016;5
17360;2332418;-1.52918119260654;-52.57808397483829;CENTRO DE SAUDE DE ALMERIM;RUA 07 DE SETEMBRO;1370;CENTRO;3737-1811;68230000.0;PA;Almeirim;2016;5
17433;2330458;-3.29780370400837;-52.5434411922788;USF CARLOS PENA FILHO;RODOVIA TRANSAMAZONICA KM 40;S/N;ZONA RURAL;;68148000.0;PA;Brasil Novo;2016;5
17287;2000334;-7.61592864990212;-72.6683592796305;UNIDADE DA SAUDE DA FAM FRANCISCO ARY DA SILVEIRA;RUA SAO PAULO;S/N;CONJUNTO MANCIO LIMA;(68) 3225784;69980000.0;AC;Cruzeiro do Sul;2016;5
17576;7550545;-1.38272689923966;-48.419532179832494;UNIDADE BASICA DE SAUDE NOVA ZELANDIA;RUA SAO JORGE PASSAGEM DA PAZ;00;COQUEIRO;;67120534.0;PA;Ananindeua;2016;5
17268;2016230;-6.66697;-69.86514;UNIDADE BASICA DE SAUDE PADRE ANTONIO CREMER;RUA TEREZINHA;331;CENTRO;(92) 34811200;69880000.0;AM;Eirunepé;2016;5
17302;2015307;-3.1078900000000003;-60.044869999999996;UBS VILA DA PRATA;RUA PROMECIO;S/N;VILA DA PRATA;(92)36735398;69030510.0;AM;Manaus;2016;5
17233;2370468;-8.05462467549995;-48.48159454374889;UNIDADE DA SAUDE DA FAMILIA MARIA MARTINS NUNES COLINAS;RUA AIRTON SENNA;667;ALVORADA;(63)34767051;77760000.0;TO;Colinas do Tocantins;2016;5
17774;3112357;-1.8977772466180198;-49.381718832016;ESTRATEGIA DE SAUDE DA FAMILIA DE MATINHA;JUSCELINO KUBITSCHEK;S/N;MATINHA;(91)36361404;68415000.0;PA;Limoeiro do Ajuru;2016;5
17781;2554879;-5.616690523109501;-47.7685452997684;UNIDADE DE SAUDE DA FAMILIA DE AXIXA;RUA DO COMERCIO;2085;CENTRO;(63)34441448;77930000.0;TO;Axixá do Tocantins;2016;5
17769;3112349;-1.76706321758795;-49.41876550292971;ESTRATEGIA SAUDE DA FAMILIA DE JAPIIM GRANDE;RIO JAPIIM GRANDE;S/N;ZONA RURAL;(91)36361404;68415000.0;PA;Limoeiro do Ajuru;2016;5
17721;2021684;0.9388911724090301;-52.000479698179596;PMSN UBS LUCILIANA BASTOS DA SILVA;DIDIMO FERREIRA BARBOSA;755;COLONIA AGUA BRANCA;(96)2331128;68948000.0;AP;Serra do Navio;2016;5
17894;2619903;-0.9856799999999999;-49.93501;POSTO DE SAUDE ALEGRIA DO GUAJARA;RIO GUAJARA;S/N;ZONA RURAL;(91)36051353;68810000.0;PA;Anajás;2016;5
17818;6601189;-1.66968550098657;-50.482177734375;POSTO DE SAUDE SAO ANTONIO TAUJURI;RIO TAUJURI;S/N;RURAL;;68800000.0;PA;Breves;2016;5
17867;2667673;-8.98056954941714;-48.2066848030641;UNIDADE BASICA DE SAUDE DORIEL MARCELINO DOS REIS;RUA ABRAAO AGUIAR;S/N;CENTRO;(63)34971117;77704000.0;TO;Tupirama;2016;5
17710;7030150;-4.30530851652526;-47.5512528419495;USF BAIRRO LIBERDADE;RUA ARI BARROSO;230;LIBERDADE;;68633000.0;PA;Dom Eliseu;2016;5
17896;3112306;-1.74175132761129;-49.2793893814087;POSTO DE SAUDE DE TATUOCA;RIO TATUOCA;S/N;ZONA RURAL;(91)36361404;68415000.0;PA;Limoeiro do Ajuru;2016;5
17612;2003228;-9.97526407241792;-67.7969527244548;USF ANTENOR RAMOS I;AV AMADEO BARBOSA TRAV ANTONIETA;001;06 DE AGOSTO;68 9997 6375;69900970.0;AC;Rio Branco;2016;5
17716;6929001;-3.8640084134681403;-54.2165154218674;ESF BOA ESPERANCA;TRAVESSA RITA DE CASSIA BAIRRO BOA ESPERANCA;S/N;BOA ESPERANCA;;68138000.0;PA;Placas;2016;5
17655;2329050;-7.9899891359934605;-49.6716798841953;POSTO DE SAUDE COMUNIDADE SANTA HELENA;REGIAO DE CAMPOS ALTOS;S/N;ZONA RURAL;(91)421 2166;68540000.0;PA;Conceição do Araguaia;2016;5
17663;3019071;-7.54462480545022;-72.57967472076209;USF MAURICIO SABINO DA SILVA;AV PRESIDENTE VARGAS;S/N;CENTRO;(97)3485 1143;69895000.0;AM;Guajará;2016;5
17761;5379024;-4.00968496505464;-49.4616866455078;P S F DO BAIRRO DA CONQUISTA;RUA PASTOR ARAUJO;S/N;CONQUISTA;94 3786-0788;68488000.0;PA;Breu Branco;2016;5
17622;7617488;-9.37425119243758;-68.7254476547241;UBS RECIFE;SERINGAL SERIFE RIO IACO;S/N;ZONA RURAL;68 99963 2723;69940000.0;AC;Sena Madureira;2016;5
17828;5926688;-8.2673084735868;-49.269583225248795;ESTRATEGIA DE SAUDE DA FAMILIA HOSANA B DA SILVA;AV CARAJAS;S/N;SAO LUIZ II;;68540000.0;PA;Conceição do Araguaia;2016;5
17858;2566591;2.80018329620353;-60.7592439651472;UNIDADE BASICA DE SAUDE SAYONARA MARIA DANTAS LICARIAO MATOS;AVENIDA RAIMUNDO RODRIGUES COELHO;2280;SENADOR HELIO CAMPOS;(95) 32248452;69316392.0;RR;Boa Vista;2016;5
17621;7401426;-3.28039333649593;-60.6519341468811;UBS GABRIEL VITOR RIOS MACHADO;RUA JOAQUIM DE MELO;525;NOVO MANACA;92 33611151;69401802.0;AM;Manacapuru;2016;5
17715;7483309;-12.736507496965;-60.13267993926999;UNIDADE BASICA DE SAUDE SETOR 19 CARLOS ROBERTO MAZALA;RUA RIO GRANDE DO NORTE;1597;PARQUE INDUSTRIAL NO;(69) 3322-6512;76982174.0;RO;Vilhena;2016;5
17712;2317540;-0.8833694458007559;-47.5871944427476;UNIDADE DE SAUDE DA FAMILIA DE NAZARE DO FUGIDO;PA 395;S/N;VILA NAZARE DO FUGID;91982257544;68722000.0;PA;Magalhães Barata;2016;5
17799;2017962;-1.82735681533808;-60.1916670799238;UBSF RURAL DO CANOAS MAIS MEDICOS;RODOVIA BR 174 KM 139;S/N;VILA DO CANOAS;(92)3241652;69735000.0;AM;Presidente Figueiredo;2016;5
17884;6786359;0.9749400615691859;-52.0226025581345;PMSN UBS ALCIMAR DE ALMEIDA SILVA;COMUNIDADE RIBEIRINHA DO CAPIVARA;S/N;COMUNIDADE DO CAPIVA;;68948000.0;AP;Serra do Navio;2016;5
17696;7429584;-3.42315328430155;-49.7942229003907;UBS MANOEL PARAIBA;ANGELINOPOLIS;S/N;RURAL;37951156;68465000.0;PA;Baião;2016;5
17772;2337061;-1.459845;-48.4878256874875;UNIDADE DE SAUDE DA FAMILIA PARQUE VERDE;RUA YAMADA;03;PARQUE VERDE;(91)2414066;66010000.0;PA;Belém;2016;5
17800;2012626;-7.2535729408262;-64.7855615615826;CENTRO DE SAUDE SEBASTIANA MAIA DE SOUZA;RUA 22 DE OUTUBRO;3977;VILA FALCAO;(97 ) 3331-1316;69830000.0;AM;Lábrea;2016;5
17792;2320746;1.7359471321105502;-61.1425852775556;CENTRO DE SAUDE DE VISTA ALEGRE;BR174;S/N;VILA VISTA ALEGRE;(95)5321427;69360000.0;RR;Caracaraí;2016;5
17937;2677784;-2.10318;-56.4933;PSF DO BAIRRO APARECIDA;RUA JUSCELINO KUBITSCHEK;S/N;APARECIDA;( );68285000.0;PA;Terra Santa;2016;5
17989;2317982;-1.6758145;-47.774784569225595;USF DA VILA DE PERSEVERANCA;VILA PERSEVERANCA;S/N;ZONA RURAL;;68635000.0;PA;São Domingos do Capim;2016;5
18333;2616572;-4.448405475;-49.1127815625675;PSF VILA RASTEIRO;RUA AYRTON SENNA;S/N;VILA RASTEIRO;;68590000.0;PA;Jacundá;2016;5
18285;7499159;-1.14070568037091;-48.2614213228226;UBS DA REGIAO DE GENIPAUBA;RODOVIA PA 408 ESTRADA DO GENIPAUBA;S/N;COMUNIDADE SAO JOAO;;68798000.0;PA;Santa Bárbara do Pará;2016;5
18142;2486903;-10.7113802433011;-48.90617609023911;UNIDADE BASICA DE SAUDE VALDEMIR PITOMBEIRA DA COSTA;RUA 02;S/N;CENTRO;63 33351200;77558000.0;TO;Oliveira de Fátima;2016;5
18039;2370727;-8.9584636390938;-47.3383985145873;UNIDADE BASICA DE SAUDE ANTONIO GONCALVES DE LIMA;AVENIDA CEARA;S/N;CENTRO;(63)34201145;77723000.0;TO;Centenário;2016;5
18076;2311968;-0.915609598159763;-47.9275345802293;UNIDADE DE SAUDE DA FAMILIA DE VILA NOVA;TRAV PRACA DA BANDEIRA;S/N;CENTRO;;68774000.0;PA;São João da Ponta;2016;5
18212;2329492;-1.7887544631957502;-48.323342800138995;POSTO DE SAUDE SANTANA DO ACARA;SANTANA DO ACARA;201;BAIXO ACARA;;68690000.0;PA;Acará;2016;5
18006;2680297;-6.71335;-47.75946;CENTRO MUNICIPAL DE SAUDE DARCINOPOLIS;RUA 7 DE SETEMBRO;S/N;CENTRO;(63)4231135;77910000.0;TO;Darcinópolis;2016;5
18036;6741592;-3.2920253276823996;-52.5426936149582;USF CIDADE ALTA;AVENIDA CASTELO BRANCO;S/N;CIDADE ALTA;;68148000.0;PA;Brasil Novo;2016;5
18213;3983919;-1.1581993103027;-48.1400299072252;UNIDADE DE SAUDE DA FAMILIA DO PINA;BAIRRO DO PINA;S/N;PINA;;68786000.0;PA;Santo Antônio do Tauá;2016;5
18070;2316439;-1.35463356971737;-48.23354244232039;UNIDADE DE SAUDE DA FAMILIA MAGUARY;AV JOAQUIM PEREIRA DE QUEIROZ;S/N;MAGUARY;;68795000.0;PA;Benevides;2016;5
18347;2317648;-1.6724309149453702;-50.4746246337891;POSTO DE SAUDE NOSSA SENHORA DO PERPETUO SOCORRO;RIO TAUAU;S/N;RURAL;;68800000.0;PA;Breves;2016;5
18008;2013347;-1.4771997928619;-60.2726054191572;UBSF RURAL EDMILSON JOSE RODRIGUES;RODOVIA BR 174 KM 179;S/N;COM NOVA JERUSALEM;(92)33241005;69735000.0;AM;Presidente Figueiredo;2016;5
18012;2313332;-2.23995566368097;-49.4949746131883;CENTRO DE REFERENCIA INTEGRAL A SAUDE DA MULHER E DA CRIANCA;PRACA AUGUSTO MONTENEGRO;115;SAO BENEDITO;(91)37813360;68400000.0;PA;Cametá;2016;5
18116;7065310;-11.811923563155998;-49.516412168741205;UNIDADE DE SAUDE FAMILIA SAO JOSE I IRACY GOMES DE SOUZA;AV DOM PEDRO II ESQ COM A RUA 11 LT G2D QD G2;S/N;SAO JOSE I;;77470000.0;TO;Formoso do Araguaia;2016;5
18057;2597462;-11.2425434589383;-48.4436774253831;U S F IRACEMA SIQUEIRA DE ABREU RIBEIRO IPUEIRAS;RUA SANTO ANTONIO;S/N;CENTRO;63 3536-1034;77553000.0;TO;Ipueiras;2016;5
18107;2314444;-1.10968351364133;-48.224186897276404;UNIDADE DE SAUDE DA FAMILIA DA ESPIRITO SANTO DO TAUA;VILA DO ESPIRITO SANTO DO TAUA;S/N;CENTRO;;68786000.0;PA;Santo Antônio do Tauá;2016;5
18037;2468387;-7.54426002502419;-49.366958141325505;UNIDADE DE SAUDE DA FAMILIA PAU DARCO;RUA MESSIAS COSTA;1521;CENTRO;(63)34551158;77785000.0;TO;Pau D'Arco;2016;5
